"R0","p.symp","iso_delay_traced_max","iso_delay_untraced_sd_max","sd_contact_rate1","p.trace","p.trace_app","day","scn_id","n.active_Q_05","n.active_Q_25","n.active_Q_50","n.active_Q_75","n.active_Q_95","Quarter","Revenue"
3,0.7,2,1,0.3,0.75,0,10,2068,249.25,294.75,328.5,373.25,427.3,"Rt_Q_95",1.5058547008547
3,0.7,2,1,0.3,0.75,0.25,10,2428,240.9,292,331.5,372.25,424.7,"Rt_Q_95",1.51737494466578
3,0.7,2,1,0.3,0.75,0.5,10,2788,237.8,282.75,324,368.25,417.25,"Rt_Q_95",1.43066462226298
3,0.7,2,1,0.3,0.75,0.75,10,3148,243,281.75,313.5,356.5,407.2,"Rt_Q_95",1.31100254885302
3,0.7,2,1,0.3,0.75,1,10,3508,218.8,268,308,331.5,374.35,"Rt_Q_95",1.13881347887992
3,0.7,2,1,0.3,1,0,10,2140,255.95,288.5,322,372.5,474.15,"Rt_Q_95",1.39858738745415
3,0.7,2,1,0.3,1,0.25,10,2500,246.7,310.75,344.5,382.25,447.1,"Rt_Q_95",1.42921152084288
3,0.7,2,1,0.3,1,0.5,10,2860,242.8,301,324.5,361.5,429.45,"Rt_Q_95",1.36750376090663
3,0.7,2,1,0.3,1,0.75,10,3220,243.15,282.25,320,365.5,432.05,"Rt_Q_95",1.25282722513089
3,0.7,2,1,0.3,1,1,10,3580,212.8,258,297,327.25,379.05,"Rt_Q_95",1.11553375196232
